row,dataset,method,testing_dataset_size,fake_match_read_pj,rewrite_read_pj,fake_match_write_pj,rewrite_write_pj,fake_match_total_energy_pj,rewrite_total_energy_pj,fake_total_energy_saved_pj,fake_over_rewrite_total_energy_ratio,fake_total_energy_reduction_ratio,winner
1,Energy,fptree_union,154,163280.34,135202.17,743410.0,1137906,906690.3,1273108,366417.833,0.7121864,0.2878135890,Fake Match
2,Energy,global_union,154,163425.23,135975.67,746246.5,1131910,909671.7,1267886,358214.449,0.7174711,0.2825288706,Fake Match
3,Energy,lsh_minhash,154,165718.83,148220.72,890694.5,1136542,1056413.3,1284762,228348.893,0.8222637,0.1777363070,Fake Match
4,Energy,mcp_radix,154,163931.94,138680.91,785250.5,1140026,949182.4,1278706,329523.966,0.7422990,0.2577010368,Fake Match
5,Energy,naive,154,169510.32,168462.63,1118191.0,1132911,1287701.3,1301374,13672.307,0.9894939,0.0105060583,Fake Match
6,Energy,radix_union,154,163151.31,134513.28,736042.5,1138404,899193.8,1272918,373723.972,0.7064037,0.2935963177,Fake Match
7,Energy,sequential,154,168930.79,165368.63,1087105.5,1137154,1256036.3,1302522,46485.844,0.9643109,0.0356891015,Fake Match
8,Breast,fptree_union,115,177532.33,134824.81,1683484.0,2487012,1861016.3,2621837,760820.487,0.7098139,0.2901860570,Fake Match
9,Breast,global_union,115,175366.23,123260.52,1506595.5,2486948,1681961.7,2610208,928246.291,0.6443784,0.3556215761,Fake Match
10,Breast,lsh_minhash,115,182762.73,162748.78,2111852.0,2488408,2294614.7,2651157,356542.049,0.8655145,0.1344854635,Fake Match
11,Breast,mcp_radix,115,184077.94,169770.39,2218761.5,2487954,2402839.4,2657724,254884.445,0.9040967,0.0959032827,Fake Match
12,Breast,naive,115,187087.03,185835.24,2463167.5,2486720,2650254.5,2672555,22300.211,0.9916558,0.0083441551,Fake Match
13,Breast,radix_union,115,177532.33,134824.81,1684387.0,2487915,1861919.3,2622740,760820.487,0.7099139,0.2900861469,Fake Match
14,Breast,sequential,115,186340.96,181852.12,2402285.0,2486741,2588626.0,2668593,79967.164,0.9700340,0.0299660383,Fake Match
15,Heart,fptree_union,56,61902.54,50987.48,971932.5,1393660,1033835.0,1444648,410812.946,0.7156311,0.2843688914,Fake Match
16,Heart,global_union,56,61450.33,48573.23,894930.5,1392466,956380.8,1441040,484658.903,0.6636742,0.3363258436,Fake Match
17,Heart,lsh_minhash,56,62770.74,55622.62,1123040.5,1399224,1185811.2,1454847,269035.878,0.8150762,0.1849238139,Fake Match
18,Heart,mcp_radix,56,63074.78,57245.79,1171653.0,1396869,1234727.8,1454115,219387.018,0.8491268,0.1508732455,Fake Match
19,Heart,naive,56,64418.24,64418.24,1392745.5,1392746,1457163.7,1457164,0.000,1.0000000,0.0000000000,Rewrite
20,Heart,radix_union,56,62130.84,52206.33,1013852.5,1397308,1075983.3,1449515,373531.492,0.7423059,0.2576941496,Fake Match
21,Heart,sequential,56,64396.29,64301.04,1390232.5,1393912,1454628.8,1458214,3584.755,0.9975417,0.0024583198,Fake Match
22,Parkinsons,fptree_union,1201,190438969.59,155051913.89,123820470.0,187572790,314259439.6,342624704,28365264.301,0.9172119,0.0827881469,Fake Match
23,Parkinsons,global_union,1201,187750558.96,140699093.03,101917634.5,186684226,289668193.5,327383320,37715126.068,0.8847983,0.1152017339,Fake Match
24,Parkinsons,lsh_minhash,1201,194091674.06,174552883.04,152150294.5,187350828,346241968.6,361903712,15661742.983,0.9567240,0.0432759944,Fake Match
25,Parkinsons,mcp_radix,1201,191942785.17,163080447.67,135850675.5,187848248,327793460.7,350928695,23135234.495,0.9340743,0.0659257416,Fake Match
26,Parkinsons,naive,1201,198594970.20,198594970.20,186354521.5,186354522,384949491.7,384949492,0.000,1.0000000,0.0000000000,Rewrite
27,Parkinsons,radix_union,1201,190617164.37,156003255.78,125469989.0,187829429,316087153.4,343832685,27745531.414,0.9193051,0.0806948631,Fake Match
28,Parkinsons,sequential,1201,198535462.09,198277269.77,180273714.0,180738866,378809176.1,379016136,206959.675,0.9994540,0.0005460445,Fake Match
